月份,Sheet,问题类型,包名,发货单号,字段,原始值,处理后值,原始行号,处理后行号,说明
6月,手术室,多余行,电凝棒-1/z7550,1607797,整行,,1.0/22.0/22.0,,14,
6月,手术室,多余行,电凝钩 1 电极线 1/z2060,1607797,整行,,1.0/44.0/44.0,,15,
6月,手术室,多余行,剪刀（低温）-1/Z2060,1607797,整行,,1.0/28.0/28.0,,16,
6月,手术室,多余行,镜头-1/Z2060,1607797,整行,,1.0/28.0/28.0,,17,
6月,手术室,多余行,气腹管-1/z3040,1607797,整行,,1.0/35.0/35.0,,18,
6月,手术室,多余行,施夹钳-1/Z2060,1607797,整行,,1.0/28.0/28.0,,19,
6月,手术室,多余行,弯分离钳-1/Z2060,1607797,整行,,1.0/28.0/28.0,,20,
6月,手术室,多余行,胃抓钳-1/Z2060,1607797,整行,,1.0/28.0/28.0,,21,
6月,手术室,多余行,转换器-1/Z7520,1607797,整行,,1.0/22.0/22.0,,22,
6月,手术室,汇总不一致-总价,手术室,,总价,2377.0,2294.0,8,8,
