月份,Sheet,问题类型,包名,发货单号,字段,原始值,处理后值,原始行号,处理后行号,说明
1月,全部科室(汇总对比),缺失行,吸管9枪状镊26弯针8喉镜11盘1/W9050,1571297,整行,1.0/242.0/242.0,,55,,
1月,全部科室(汇总对比),缺失行,橄榄头-65/z2030,1571349,整行,1.0/184.8/184.8,,56,,
1月,全部科室(汇总对比),缺失行,鼻镜20 方盘1/W9050,1571831,整行,4.0/88.0/352.0,,57,,
1月,全部科室(汇总对比),缺失行,穿刺针-1/Z7526,1571831,整行,3.0/6.4/19.2,,58,,
1月,全部科室(汇总对比),缺失行,枪状镊6/Z1026,1571831,整行,1.0/26.4/26.4,,59,,
1月,全部科室(汇总对比),缺失行,吸引管-2件/Z7526,1571831,整行,1.0/6.4/6.4,,60,,
1月,全部科室(汇总对比),缺失行,吸引管44枪状镊64弯针18喉镜23盘1/W9050,1571831,整行,1.0/660.0/660.0,,61,,
1月,全部科室(汇总对比),缺失行,冲洗头-71/Z2030,1571844,整行,1.0/202.4/202.4,,62,,
1月,全部科室(汇总对比),缺失行,鼻镜20 方盘1/W9050,1572176,整行,4.0/88.0/352.0,,63,,
1月,全部科室(汇总对比),缺失行,穿刺针-1/Z7526,1572176,整行,1.0/6.4/6.4,,64,,
1月,全部科室(汇总对比),缺失行,枪状镊2/Z7526,1572176,整行,1.0/10.8/10.8,,65,,
1月,全部科室(汇总对比),缺失行,弯针10吸引8喉镜12枪状镊22盘1/w9050,1572176,整行,1.0/233.2/233.2,,66,,
1月,全部科室(汇总对比),缺失行,鼻镜20 方盘1/W9050,1572455,整行,4.0/88.0/352.0,,67,,
1月,全部科室(汇总对比),缺失行,穿刺针-1/Z7526,1572455,整行,1.0/6.4/6.4,,68,,
1月,全部科室(汇总对比),缺失行,枪装镊22弯针9吸管12喉镜12盘1/W9050,1572455,整行,1.0/246.4/246.4,,69,,
1月,全部科室(汇总对比),缺失行,冲洗头-66/Z2030,1572529,整行,1.0/202.4/202.4,,70,,
1月,全部科室(汇总对比),缺失行,鼻镜20 方盘1/W9050,1572908,整行,3.0/88.0/264.0,,71,,
1月,全部科室(汇总对比),缺失行,穿刺针-1/Z7526,1572908,整行,2.0/6.4/12.8,,72,,
1月,全部科室(汇总对比),缺失行,粗吸引管-1/Z1029,1572908,整行,1.0/6.4/6.4,,73,,
1月,全部科室(汇总对比),缺失行,枪状镊2/Z7526,1572908,整行,1.0/10.8/10.8,,74,,
1月,全部科室(汇总对比),缺失行,吸管14枪状镊13弯针11喉镜12盘1/W9050,1572908,整行,1.0/224.4/224.4,,75,,
1月,全部科室(汇总对比),缺失行,鼻镜20 方盘1/W9050,1573276,整行,4.0/88.0/352.0,,76,,
1月,全部科室(汇总对比),缺失行,穿刺针-1/Z7526,1573276,整行,1.0/6.4/6.4,,77,,
1月,全部科室(汇总对比),缺失行,粗吸引管-1/Z1029,1573276,整行,1.0/6.4/6.4,,78,,
1月,全部科室(汇总对比),缺失行,枪状镊2/Z7526,1573276,整行,1.0/10.8/10.8,,79,,
1月,全部科室(汇总对比),缺失行,枪装镊13弯针13吸管9喉镜17盘1/W9050,1573276,整行,1.0/233.2/233.2,,80,,
1月,全部科室(汇总对比),缺失行,鼻镜20 方盘1/W9050,1573710,整行,4.0/88.0/352.0,,81,,
1月,全部科室(汇总对比),缺失行,穿刺针-1/Z7526,1573710,整行,4.0/6.4/25.6,,82,,
1月,全部科室(汇总对比),缺失行,剪刀-1/Z1029,1573710,整行,1.0/6.4/6.4,,83,,
1月,全部科室(汇总对比),缺失行,枪状镊6/Z1026,1573710,整行,1.0/26.4/26.4,,84,,
1月,全部科室(汇总对比),缺失行,吸引管-2件/Z7526,1573710,整行,1.0/6.4/6.4,,85,,
1月,全部科室(汇总对比),缺失行,枪状镊64吸管26喉镜42弯针36盘1/w9050,1573710,整行,1.0/743.6/743.6,,86,,
1月,全部科室(汇总对比),缺失行,冲洗头-107/z2030,1573783,整行,1.0/328.0/328.0,,87,,
1月,全部科室(汇总对比),缺失行,鼻镜20 方盘1/W9050,1574119,整行,4.0/88.0/352.0,,88,,
1月,全部科室(汇总对比),缺失行,烙治头-1/Z7534,1574119,整行,1.0/6.4/6.4,,89,,
1月,全部科室(汇总对比),缺失行,枪状镊2/Z7526,1574119,整行,1.0/10.8/10.8,,90,,
1月,全部科室(汇总对比),缺失行,吸引管-1/Z7526,1574119,整行,1.0/6.4/6.4,,91,,
1月,全部科室(汇总对比),缺失行,药缸-1/z2530,1574119,整行,1.0/12.8/12.8,,92,,
1月,全部科室(汇总对比),缺失行,枪装镊7弯针10吸管10喉镜12盘1/W9050,1574119,整行,1.0/176.0/176.0,,93,,
1月,全部科室(汇总对比),缺失行,纱条/Z1029,1574139,整行,1.0/2.0/2.0,,94,,
1月,全部科室(汇总对比),缺失行,鼻镜20 方盘1/W9050,1574436,整行,4.0/88.0/352.0,,95,,
1月,全部科室(汇总对比),缺失行,穿刺针-1/Z7526,1574436,整行,1.0/6.4/6.4,,96,,
1月,全部科室(汇总对比),缺失行,枪状镊2/Z7526,1574436,整行,1.0/10.8/10.8,,97,,
1月,全部科室(汇总对比),缺失行,吸引管-1/Z7526,1574436,整行,1.0/6.4/6.4,,98,,
1月,全部科室(汇总对比),缺失行,异物钳-1/Z1535,1574436,整行,1.0/8.8/8.8,,99,,
1月,全部科室(汇总对比),缺失行,止血钳-1/Z1029,1574436,整行,1.0/6.4/6.4,,100,,
1月,全部科室(汇总对比),缺失行,组织钳-1/Z1026,1574436,整行,1.0/6.4/6.4,,101,,
1月,全部科室(汇总对比),缺失行,枪状镊9喉镜22吸引管5弯针16盘1/W9050,1574436,整行,1.0/233.2/233.2,,102,,
1月,全部科室(汇总对比),缺失行,鼻镜20 方盘1/W9050,1574823,整行,3.0/88.0/264.0,,103,,
1月,全部科室(汇总对比),缺失行,持针器-1/Z1029,1574823,整行,1.0/6.4/6.4,,104,,
1月,全部科室(汇总对比),缺失行,穿刺针-1/Z7526,1574823,整行,2.0/6.4/12.8,,105,,
1月,全部科室(汇总对比),缺失行,冲洗头-85/Z3040,1574869,整行,1.0/237.6/237.6,,106,,
1月,全部科室(汇总对比),缺失行,鼻镜20 方盘1/W9050,1575129,整行,4.0/88.0/352.0,,107,,
1月,全部科室(汇总对比),缺失行,穿刺针-1/Z7526,1575129,整行,1.0/6.4/6.4,,108,,
1月,全部科室(汇总对比),缺失行,止血钳-1/Z1029,1575129,整行,1.0/6.4/6.4,,109,,
1月,全部科室(汇总对比),缺失行,枪装镊22弯针23吸管12喉镜28盘1/W9050,1575129,整行,1.0/378.4/378.4,,110,,
1月,全部科室(汇总对比),缺失行,鼻镜25 方盘1/W9050,1567297,整行,2.0/114.4/228.8,,9,,
1月,全部科室(汇总对比),缺失行,刮勺-1/Z7526,1567297,整行,1.0/6.4/6.4,,10,,
1月,全部科室(汇总对比),缺失行,烙治头-1/Z7534,1567297,整行,3.0/6.4/19.2,,11,,
1月,全部科室(汇总对比),缺失行,镊子30弯针5吸引管29喉镜9盘1/w9050,1567297,整行,1.0/325.6/325.6,,12,,
1月,全部科室(汇总对比),缺失行,橄榄头-20/Z2030,1567387,整行,7.0/70.4/492.8,,13,,
1月,全部科室(汇总对比),缺失行,鼻镜25 方盘1/W9050,1567402,整行,4.0/114.4/457.6,,14,,
1月,全部科室(汇总对比),缺失行,穿刺针-1/Z7526,1567402,整行,1.0/6.4/6.4,,15,,
